관리번호	개인번호	성명	참여역할	신분	소속(단과대)	소속(학과)	저널명	논문제목	출판국	ISBN or ISSN*	게재년도	게재월	권	호	상태값	저널구분	SCI 구분	시작페이지	종료페이지	SCI 인용횟수	SCOPUS 인용횟수	KCI 인용횟수	SCI ID	SCOPUS ID	FWCI	KCI ID	초록	DOI	최초등록일자	최종수정일자	제1저자	전체저자(최대 1000명)	저자수	실적구분	IF(출판년 ed.)	SJR(출판년 ed.)	IF(평균 등급)	원문등록여부	문서형식
127118	2362	김형준	공동저자	전임		문술미래전략대학원	BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY	Scientific and Human Errors in a Snow Model Intercomparison	미국	0003-0007	2021	01	102	1	검증완료	국제전문학술지(SCI급)	SCIE	E61	E79	31	35		000646825900004	2-s2.0-85098224845	3.45		"Twenty-seven models participated in the Earth System Model-Snow Model Intercomparison Project (ESM-SnowMIP), the most data-rich MIP dedicated to snow modeling. Our findings do not support the hypothesis advanced by previous snow MIPs: evaluating models against more variables and providing evaluation datasets extended temporally and spatially does not facilitate identification of key new processes requiring improvement to model snow mass and energy budgets, even at point scales. In fact, the same modeling issues identified by previous snow MIPs arose: albedo is a major source of uncertainty, surface exchange parameterizations are problematic, and individual model performance is inconsistent. This lack of progress is attributed partly to the large number of human errors that led to anomalous model behavior and to numerous resubmissions. It is unclear how widespread such errors are in our field and others; dedicated time and resources will be needed to tackle this issue to prevent highly sophisticated models and their research outputs from being vulnerable because of avoidable human mistakes. The design of and the data available to successive snow MIPs were also questioned. Evaluation of models against bulk snow properties was found to be sufficient for some but inappropriate for more complex snow models whose skills at simulating internal snow properties remained untested. Discussions between the authors of this paper on the purpose of MIPs revealed varied, and sometimes contradictory, motivations behind their participation. These findings started a collaborative effort to adapt future snow MIPs to respond to the diverse needs of the community."	https://doi.org/10.1175/BAMS-D-19-0329.1	2022-12-07	2023-04-05	"Menard, CB"	"Menard, CB[Menard, Cecile B.]; Essery, R[Essery, Richard]; Krinner, G[Krinner, Gerhard]; Arduini, G[Arduini, Gabriele]; Bartlett, P[Bartlett, Paul]; Boone, A[Boone, Aaron]; Brutel-Vuilmet, C[Brutel-Vuilmet, Claire]; Burke, E[Burke, Eleanor]; Cuntz, M[Cuntz, Matthias]; Dai, Y[Dai, Yongjiu]; Decharme, B[Decharme, Bertrand]; Dutra, E[Dutra, Emanuel]; Fang, X[Fang, Xing]; Fierz, C[Fierz, Charles]; Gusev, Y[Gusev, Yeugeniy]; Hagemann, S[Hagemann, Stefan]; Haverd, V[Haverd, Vanessa]; Kim, H[Kim, Hyungjun]; Lafaysse, M[Lafaysse, Matthieu]; Marke, T[Marke, Thomas]; Nasonova, O[Nasonova, Olga]; Nitta, T[Nitta, Tomoko]; Niwano, M[Niwano, Masashi]; Pomeroy, J[Pomeroy, John]; Schaedler, G[Schaedler, Gerd]; Semenov, VA[Semenov, Vladimir A.]; Smirnova, T[Smirnova, Tatiana]; Strasser, U[Strasser, Ulrich]; Swenson, S[Swenson, Sean]; Turkov, D[Turkov, Dmitry]; Wever, N[Wever, Nander]; Yuan, H[Yuan, Hua]"	32	타기관	9.116	2.471	5.00	N	Article
120867	2362	김형준	공동저자	전임		문술미래전략대학원	JOURNAL OF HYDROMETEOROLOGY	Evaluation of Precipitation Vertical Profiles Estimated by GPM-Era Satellite-Based Passive Microwave Retrievals	미국	1525-755X	2021	01	22	1	검증완료	국제전문학술지(SCI급)	SCIE	95	112	8	8		000656693400006	2-s2.0-85099040987	0.55		"Precipitation estimation based on passive microwave (MW) observations from low-Earth-orbiting satellites is one of the essential variables for understanding the global climate. However, almost all validation studies for such precipitation estimation have focused only on the surface precipitation rate. This study investigates the vertical precipitation profiles estimated by two passive MW-based retrieval algorithms, i.e., the emissivity principal components (EPC) algorithm and the Goddard profiling algorithm (GPROF). The passive MW-based condensed water content profiles estimated from the Global Precipitation Measurement Microwave Imager (GMI) are validated using the GMI 1 Dual-Frequency Precipitation Radar combined algorithm as the reference product. It is shown that the EPC generally underestimates the magnitude of the condensed water content profiles, described by the mean condensed water content, by about 20%-50% in the middle-to-high latitudes, while GPROF overestimates it by about 20%-50% in the middle-to-high latitudes and more than 50% in the tropics. Part of the EPC magnitude biases is associated with the representation of the precipitation type (i.e., convective and stratiform) in the retrieval algorithm. This suggests that a separate technique for precipitation type identification would aid in mitigating these biases. In contrast to the magnitude of the profile, the profile shapes are relatively well represented by these two passive MW-based retrievals. The joint analysis between the estimation performances of the vertical profiles and surface precipitation rate shows that the physically reasonable connections between the surface precipitation rate and the associated vertical profiles are achieved to some extent by the passive MW-based algorithms."	https://doi.org/10.1175/JHM-D-20-0160.1	2021-07-13	2022-03-07	"Utsumi, N"	"Utsumi, N[Utsumi, Nobuyuki]; Turk, FJ[Turk, F. Joseph]; Haddad, ZS[Haddad, Ziad S.]; Kirstetter, PE[Kirstetter, Pierre-Emmanuel]; Kim, H[Kim, Hyungjun]"	5	타기관	4.871	1.485	4.00	Y	Article
120843	2362	김형준	공동저자	전임		문술미래전략대학원	CRYOSPHERE	Snow cover duration trends observed at sites and predicted by multiple models	독일	1994-0416	2020	12	14	12	검증완료	국제전문학술지(SCI급)	SCIE	4687	4698	12	14		000602511800004	2-s2.0-85098206631	1.09		"The 30-year simulations of seasonal snow cover in 22 physically based models driven with bias-corrected meteorological reanalyses are examined at four sites with long records of snow observations. Annual snow cover durations differ widely between models, but interannual variations are strongly correlated because of the common driving data. No significant trends are observed in starting dates for seasonal snow cover, but there are significant trends towards snow cover ending earlier at two of the sites in observations and most of the models. A simplified model with just two parameters controlling solar radiation and sensible heat contributions to snowmelt spans the ranges of snow cover durations and trends. This model predicts that sites where snow persists beyond annual peaks in solar radiation and air temperature will experience rapid decreases in snow cover duration with warming as snow begins to melt earlier and at times of year with more energy available for melting."	https://doi.org/10.5194/tc-14-4687-2020	2021-07-13	2021-07-14	"Essery, R"	"Essery, R[Essery, Richard]; Kim, H[Kim, Hyungjun]; Wang, LB[Wang, Libo]; Bartlett, P[Bartlett, Paul]; Boone, A[Boone, Aaron]; Brutel-Vuilmet, C[Brutel-Vuilmet, Claire]; Burke, E[Burke, Eleanor]; Cuntz, M[Cuntz, Matthias]; Decharme, B[Decharme, Bertrand]; Dutra, E[Dutra, Emanuel]; Fang, X[Fang, Xing]; Gusev, Y[Gusev, Yeugeniy]; Hagemann, S[Hagemann, Stefan]; Haverd, V[Haverd, Vanessa]; Kontu, A[Kontu, Anna]; Krinner, G[Krinner, Gerhard]; Lafaysse, M[Lafaysse, Matthieu]; Lejeune, Y[Lejeune, Yves]; Marke, T[Marke, Thomas]; Marks, D[Marks, Danny]; Marty, C[Marty, Christoph]; Menard, CB[Menard, Cecile B.]; Nasonova, O[Nasonova, Olga]; Nitta, T[Nitta, Tomoko]; Pomeroy, J[Pomeroy, John]; Schadler, G[Schaedler, Gerd]; Semenov, V[Semenov, Vladimir]; Smirnova, T[Smirnova, Tatiana]; Swenson, S[Swenson, Sean]; Turkov, D[Turkov, Dmitry]; Wever, N[Wever, Nander]; Yuan, H[Yuan, Hua]"	32	타기관	5.771	2.574	5.00	Y	Article
120822	2362	김형준	공동저자	전임		문술미래전략대학원	ENVIRONMENTAL RESEARCH LETTERS	Emergence of significant soil moisture depletion in the near future	영국	1748-9326	2020	12	15	12	검증완료	국제전문학술지(SCI급)	SCIE			8	9		000598689300001	2-s2.0-85098599467	0.48		"Declining soil moisture related to climate change can greatly affect social, economic, environmental, and hydrological processes, as well as extreme weather events. Hence, it is imperative to understand the timing of significant soil moisture drying under future climate change. Compared to spatial variations in soil moisture drying, however, our understanding of temporal variations remain unclear. In the present study, the timing of significant soil moisture depletion (SSD) is predicted using the soil moisture projection (0-50 cm depth) from the 30 Inter-Sectoral Impact Model Intercomparison Project fast-track outputs under the representative concentration pathways (RCPs) 2.6 and 8.5. Under both RCP scenarios, the ensemble medians of the projections show the emergence of the timing of SSD in Western Europe, Eastern United States, South America, Sub-Saharan Africa, Australia, and Southern China over 40 years ("	https://doi.org/10.1088/1748-9326/abc6d2	2021-07-13	2021-07-14	"Joo, J"	"Joo, J[Joo, Jaewon]; Jeong, S[Jeong, Sujong]; Zheng, CM[Zheng, Chunmiao]; Park, CE[Park, Chang-Eui]; Park, H[Park, Hoonyoung]; Kim, H[Kim, Hyungjun]"	6	타기관	6.8	2.37	5.00	Y	Article
120833	2362	김형준	공동저자	전임		문술미래전략대학원	SCIENCE	Abrupt shift to hotter and drier climate over inner East Asia beyond the tipping point	미국	0036-8075	2020	11	370	6520	검증완료	국제전문학술지(SCI급)	SCIE	1095	+	121	134		000595345600053	2-s2.0-85096948694	5.26		"Unprecedented heatwave-drought concurrences in the past two decades have been reported over inner East Asia. Tree-ring-based reconstructions of heatwaves and soil moisture for the past 260 years reveal an abrupt shift to hotter and drier climate over this region. Enhanced land-atmosphere coupling, associated with persistent soil moisture deficit, appears to intensify surface warming and anticyclonic circulation anomalies, fueling heatwaves that exacerbate soil drying. Our analysis demonstrates that the magnitude of the warm and dry anomalies compounding in the recent two decades is unprecedented over the quarter of a millennium, and this trend clearly exceeds the natural variability range. The ""hockey stick""-like change warns that the warming and drying concurrence is potentially irreversible beyond a tipping point in the East Asian climate system."	https://doi.org/10.1126/science.abb3368	2021-07-13	2021-07-14	"Zhang, P"	"Zhang, P[Zhang, Peng]; Jeong, JH[Jeong, Jee-Hoon]; Yoon, JH[Yoon, Jin-Ho]; Kim, H[Kim, Hyungjun]; Wang, SYS[Wang, S-Y Simon]; Linderholm, HW[Linderholm, Hans W.]; Fang, KY[Fang, Keyan]; Wu, XC[Wu, Xiuchen]; Chen, DL[Chen, Deliang]"	9	타기관	47.728	12.556	5.00	Y	Article
120828	2362	김형준	공동저자	전임		문술미래전략대학원	ENVIRONMENTAL RESEARCH LETTERS	Intensification of the East Asian summer monsoon lifecycle based on observation and CMIP6	영국	1748-9326	2020	09	15	9	검증완료	국제전문학술지(SCI급)	SCIE			23	24		000570735400001	2-s2.0-85092061770	1.40		"Long-term changes in the East Asian summer monsoon (EASM) lifecycle since 1979 are analyzed based on observational datasets and historical simulations of the Coupled Model Intercomparison Project Phase 6 (CMIP6). According to the observation, the active and break phases of EASM have intensified resulting in a shorter but stronger rainy season, followed by a longer dry spell. This intensification in the active-phase precipitation is accompanied by increased lower tropospheric southwesterly wind and subsequent convergence of water vapor flux. These changes are accompanied by the widely reported westward extension of the North Pacific Subtropical High, which has been associated with the warming climate. CMIP6 models generally underestimated the observed intensification of the EASM lifecycle and the monsoon precipitation. However, some of the models did simulate the intensified EASM lifecycle similar to that observed. The result highlights the reasonable performance on EASM shown in some CMIP6 models and those simulations lend support to a dynamically-driven intensification of the EASM lifecycle in the warmer climate."	https://doi.org/10.1088/1748-9326/ab9b3f	2021-07-13	2021-07-14	"Park, J"	"Park, J[Park, Jina]; Kim, H[Kim, Hyungjun]; Wang, SYS[Simon Wang, S-Y]; Jeong, JH[Jeong, Jee-Hoon]; Lim, KS[Lim, Kyo-Sun]; LaPlante, M[LaPlante, Matthew]; Yoon, JH[Yoon, Jin-Ho]"	7	타기관	6.8	2.37	5.00	Y	Article
120798	2362	김형준	교신저자	전임		문술미래전략대학원	ENVIRONMENTAL RESEARCH LETTERS	Global aridity changes due to differences in surface energy and water balance between 1.5 degrees C and 2 degrees C warming	영국	1748-9326	2020	09	15	9	검증완료	국제전문학술지(SCI급)	SCIE			13	12		000570741300001	2-s2.0-85092072141	0.70		"Increased aridity and drought risks are significant global concerns. However, there are few comprehensive studies on the related risks with regard to the differences between relatively weak levels of warming, including the recent targets of the United Nations Framework Convention on Climate Change (UNFCCC) of 1.5 degrees C or 2 degrees C. The present study investigates the impacts of 1.5 degrees C and 2 degrees C warming on aridification and their non-linearity based on the relationship between available water and energy at the Earth's terrestrial surface. Large multi-model ensembles with a 4000-model-year in total are sourced from the Half a degree Additional warming, Prognosis, and Projected Impacts (HAPPI) project. Results demonstrate that 2 degrees C warming results in more frequent dry states in the Amazon Basin, western Europe, and southern Africa, and a limited warming to 1.5 degrees C will mitigate aridification and increase the frequency of extreme dry-year in these regions. In the Mediterranean region, a significant acceleration of aridification is found from the 1.5 degrees C to 2 degrees C warming projections, which indicates a need to limit the warming by 1.5 degrees C. A substantial portion of Asia is projected to become increasingly humid under both 1.5 degrees C and 2 degrees C warming scenarios. In some geographic regions, such as Australia, a strong nonlinear shift of aridification is found as 2 degrees C warming results in shift to wetter state contrast to significant increases in aridity and dry-year frequency at the weaker level of warming. The results suggest that the responses of regional precipitation to global warming cause the aridity changes, but their nonlinear behaviors along with different warming levels should be assessed carefully, in particular, to incorporate the additional 0.5 degrees C warming."	https://doi.org/10.1088/1748-9326/ab9db3	2021-07-13	2021-07-14	"Takeshima, A"	"Takeshima, A[Takeshima, Akira]; Kim, H[Kim, Hyungjun]; Shiogama, H[Shiogama, Hideo]; Lierhammer, L[Lierhammer, Ludwig]; Scinocca, JF[Scinocca, John F.]; Seland, O[Seland, Oyvind]; Mitchell, D[Mitchell, Dann]"	7	타기관	6.8	2.37	5.00	Y	Article
120806	2362	김형준	공동저자	전임		문술미래전략대학원	NATURE GEOSCIENCE	Observed changes in dry-season water availability attributed to human-induced climate change	독일	1752-0894	2020	07	13	7	검증완료	국제전문학술지(SCI급)	SCIE	477	+	108	122		000544997400008	2-s2.0-85087362907	8.03		"Regional changes in dry-season water availability over recent decades can be attributed to human-induced climate change, according to analyses of global reconstructions. Human-induced climate change impacts the hydrological cycle and thus the availability of water resources. However, previous assessments of observed warming-induced changes in dryness have not excluded natural climate variability and show conflicting results due to uncertainties in our understanding of the response of evapotranspiration. Here we employ data-driven and land-surface models to produce observation-based global reconstructions of water availability from 1902 to 2014, a period during which our planet experienced a global warming of approximately 1 degrees C. Our analysis reveals a spatial pattern of changes in average water availability during the driest month of the year over the past three decades compared with the first half of the twentieth century, with some regions experiencing increased and some decreased water availability. The global pattern is consistent with climate model estimates that account for anthropogenic effects, and it is not expected from natural climate variability, supporting human-induced climate change as the cause. There is regional evidence of drier dry seasons predominantly in extratropical latitudes and including Europe, western North America, northern Asia, southern South America, Australia and eastern Africa. We also find that the intensification of the dry season is generally a consequence of increasing evapotranspiration rather than decreasing precipitation."	https://doi.org/10.1038/s41561-020-0594-1	2021-07-13	2021-07-14	"Padron, RS"	"Padron, RS[Padron, Ryan S.]; Gudmundsson, L[Gudmundsson, Lukas]; Decharme, B[Decharme, Bertrand]; Ducharne, A[Ducharne, Agnes]; Lawrence, DM[Lawrence, David M.]; Mao, JF[Mao, Jiafu]; Peano, D[Peano, Daniele]; Krinner, G[Krinner, Gerhard]; Kim, H[Kim, Hyungjun]; Seneviratne, SI[Seneviratne, Sonia I.]"	10	타기관	16.908	5.435	5.00	Y	Article
120869	2362	김형준	공동저자	전임		문술미래전략대학원	EARTH SYSTEM SCIENCE DATA	The PROFOUND Database for evaluating vegetation models and simulating climate impacts on European forests	독일	1866-3508	2020	06	12	2	검증완료	국제전문학술지(SCI급)	SCIE	1295	1320	32	35		000541723500001	2-s2.0-85089753036	2.33		"Process-based vegetation models are widely used to predict local and global ecosystem dynamics and climate change impacts. Due to their complexity, they require careful parameterization and evaluation to ensure that projections are accurate and reliable. The PROFOUND Database (PROFOUND DB) provides a wide range of empirical data on European forests to calibrate and evaluate vegetation models that simulate climate impacts at the forest stand scale. A particular advantage of this database is its wide coverage of multiple data sources at different hierarchical and temporal scales, together with environmental driving data as well as the latest climate scenarios. Specifically, the PROFOUND DB provides general site descriptions, soil, climate, CO2, nitrogen deposition, tree and forest stand level, and remote sensing data for nine contrasting forest stands distributed across Europe. Moreover, for a subset of five sites, time series of carbon fluxes, atmospheric heat conduction and soil water are also available. The climate and nitrogen deposition data contain several datasets for the historic period and a wide range of future climate change scenarios following the Representative Concentration Pathways (RCP2.6, RCP4.5, RCP6.0, RCP8.5). We also provide pre-industrial climate simulations that allow for model runs aimed at disentangling the contribution of climate change to observed forest productivity changes. The PROFOUND DB is available freely as a ""SQLite"" relational database or ""ASCII"" flat file version (at https://doi.org/10.5880/PIK.2020.006/; Reyer et al., 2020). The data policies of the individual contributing datasets are provided in the metadata of each data file. The PROFOUND DB can also be accessed via the ProfoundData R package (https://CRAN.R- project.org/package=ProfoundData; Silveyra Gonzalez et al., 2020), which provides basic functions to explore, plot and extract the data for model set-up, calibration and evaluation."	https://doi.org/10.5194/essd-12-1295-2020	2021-07-13	2021-07-14	"Reyer, CPO"	"Reyer, CPO[Reyer, Christopher P. O.]; Gonzalez, RS[Gonzalez, Ramiro Silveyra]; Dolos, K[Dolos, Klara]; Hartig, F[Hartig, Florian]; Hauf, Y[Hauf, Ylva]; Noack, M[Noack, Matthias]; Lasch-Born, P[Lasch-Born, Petra]; Rotzer, T[Roetzer, Thomas]; Pretzsch, H[Pretzsch, Hans]; Meesenburg, H[Meesenburg, Henning]; Fleck, S[Fleck, Stefan]; Wagner, M[Wagner, Markus]; Bolte, A[Bolte, Andreas]; Sanders, TGM[Sanders, Tanja G. M.]; Kolari, P[Kolari, Pasi]; Makela, A[Makela, Annikki]; Vesala, T[Vesala, Timo]; Mammarella, I[Mammarella, Ivan]; Pumpanen, J[Pumpanen, Jukka]; Collalti, A[Collalti, Alessio]; Trotta, C[Trotta, Carlo]; Matteucci, G[Matteucci, Giorgio]; D'Andrea, E[D'Andrea, Ettore]; Foltynova, L[Foltynova, Lenka]; Krejza, J[Krejza, Jan]; Ibrom, A[Ibrom, Andreas]; Pilegaard, K[Pilegaard, Kim]; Loustau, D[Loustau, Denis]; Bonnefond, JM[Bonnefond, Jean-Marc]; Berbigier, P[Berbigier, Paul]; Picart, D[Picart, Delphine]; Lafont, S[Lafont, Sebastien]; Dietze, M[Dietze, Michael]; Cameron, D[Cameron, David]; Vieno, M[Vieno, Massimo]; Tian, HQ[Tian, Hanqin]; Palacios-Orueta, A[Palacios-Orueta, Alicia]; Cicuendez, V[Cicuendez, Victor]; Recuero, L[Recuero, Laura]; Wiese, K[Wiese, Klaus]; Buchner, M[Buechner, Matthias]; Lange, S[Lange, Stefan]; Volkholz, J[Volkholz, Jan]; Kim, H[Kim, Hyungjun]; Horemans, JA[Horemans, Joanna A.]; Bohn, F[Bohn, Friedrich]; Steinkamp, J[Steinkamp, Joerg]; Chikalanov, A[Chikalanov, Alexander]; Weedon, GP[Weedon, Graham P.]; Sheffield, J[Sheffield, Justin]; Babst, F[Babst, Flurin]; del Valle, IV[del Valle, Iliusi Vega]; Suckow, F[Suckow, Felicitas]; Martel, S[Martel, Simon]; Mahnken, M[Mahnken, Mats]; Gutsch, M[Gutsch, Martin]; Frieler, K[Frieler, Katja]"	57	타기관	11.333	4.066	5.00	Y	Article; Data Paper
120810	2362	김형준	교신저자	전임		문술미래전략대학원	WATER RESOURCES RESEARCH	Water Governance Contribution to Water and Sanitation Access Equality in Developing Countries	미국	0043-1397	2020	04	56	4	검증완료	국제전문학술지(SCI급)	SCIE			31	36		000538987800010	2-s2.0-85083976406	2.66		"Access to basic water service and basic sanitation service has been acknowledged as fundamental human rights. It also has been mentioned in UN Sustainable Development Goals 6 to ensure that all people will have equal access to both water and sanitation service, as well as embedded in Goal 10 that aims to reduce inequality and promoting inclusiveness. However, the WHO/UNICEF Joint Monitoring Programme 2017 reported that 844 million people are still living without basic access to water, and 2.3 billion are still excluded from basic sanitation service. In this study, we present quantitative global-scale analysis of inequality of accessing the water and sanitation services from different wealth groups in 82 developing countries. We found that access inequality is rampant among developing countries particularly in terms of accessing basic sanitation service which the poor populations tend to be excluded in accessing the basic service. Based on combined multiple global data sets, we further identify which components of water governance are the key contributors to access inequality in water and sanitation services. We conclude that social and political dimension of water governance, such as government effectiveness, are influencing the occurrence of inequality of access to sanitation service in developing countries, while the inequality of access to basic water service was strongly influenced by the economic aspect of water governance, such as absorption of aid funds. Plain Language Summary Access to basic water service and basic sanitation service has been acknowledged as fundamental human rights, and all people should have equal access to both water and sanitation service. Despite being placed in such important goals, a considerable number of people still facing difficulties from accessing to basic service. We present first analysis of inequality of accessing the water and sanitation services from different wealth groups in developing countries. We found that inequality is rampant among developing countries particularly in term of accessing basic sanitation service which the poor populations tend to be excluded in accessing the basic service. Water governance is the management system that control how water resources are allocated, including basic water and basic sanitation service provision. We conclude that social and political dimension of water governance are influencing the occurrence of inequality of access to sanitation service in developing countries, while the inequality of access to basic water service was strongly influenced by the economic aspect of water governance. These results can help government to understand how different the inequality of access of water and sanitation is, and to help making informed decision to address the issue of access inequality in more suitable approach. Key Points Inequality of access to basic water and sanitation services are quantified using UNESCO-WHO JMP data sets Water governance factors are identified quantitatively using World Bank-WGI and UN Water GLAAS data sets Unequal prioritization of providing access to water and sanitation on the water governance agenda is identified"	https://doi.org/10.1029/2019WR025330	2021-07-13	2021-07-14	"Bayu, T"	"Bayu, T[Bayu, Tidar]; Kim, H[Kim, Hyungjun]; Oki, T[Oki, Taikan]"	3	타기관	5.24	1.863	4.67	Y	Article
120855	2362	김형준	공동저자	전임		문술미래전략대학원	JOURNAL OF ADVANCES IN MODELING EARTH SYSTEMS	Improvement of the Irrigation Scheme in the ORCHIDEE Land Surface Model and Impacts of Irrigation on Regional Water Budgets Over China	미국	1942-2466	2020	04	12	4	검증완료	국제전문학술지(SCI급)	SCIE			16	17		000538038300001	2-s2.0-85083958020	0.80		"In China, irrigation is widespread in 40.7% cropland to sustain crop yields. By its action on water cycle, irrigation affects water resources and local climate. In this study, a new irrigation module, including flood and paddy irrigation technologies, was developed in the ORCHIDEE-CROP land surface model which describes crop phenology and growth in order to estimate irrigation demands over China from 1982 to 2014. Three simulations were performed including NI (no irrigation), IR (with irrigation limited by local water resources), and FI (with irrigation demand fulfilled). Observations and census data were used to validate the simulations. Results showed that the estimated irrigation water withdrawal (W) based on IR and FI scenarios bracket statisticalW with fair spatial agreements (r = 0.68 +/- 0.07; p < 0.01). Improving irrigation efficiency was found to be the dominant factor leading to the observedW decrease. By comparing simulated total water storage (TWS) with GRACE observations, we found that simulated TWS with irrigation well explained the TWS variation over China. However, our simulation overestimated the seasonality of TWS in the Yangtze River Basin due to ignoring regulation of artificial reservoirs. The observed TWS decrease in the Yellow River Basin caused by groundwater depletion was not totally captured in our simulation, but it can be inferred by combining simulated TWS with census data. Moreover, we demonstrated that land use change tended to drive W locally but had little effect on total W over China due to water resources limitation."	https://doi.org/10.1029/2019MS001770	2021-07-13	2021-07-14	"Yin, Z"	"Yin, Z[Yin, Z.]; Wang, XH[Wang, X. H.]; Ottle, C[Ottle, C.]; Zhou, F[Zhou, F.]; Guimberteau, M[Guimberteau, M.]; Polcher, J[Polcher, J.]; Peng, SS[Peng, S. S.]; Piao, SL[Piao, S. L.]; Li, L[Li, L.]; Bo, Y[Bo, Y.]; Chen, XL[Chen, X. L.]; Zhou, XD[Zhou, X. D.]; Kim, H[Kim, Hyungjun]; Ciais, P[Ciais, P.]"	14	타기관	6.66	3.03	5.00	Y	Article
120845	2362	김형준	공동저자	전임		문술미래전략대학원	ATMOSPHERIC SCIENCE LETTERS	Consecutive extreme flooding and heat wave in Japan: Are they becoming a norm?	미국	1530-261X	2019	10	20	10	검증완료	국제전문학술지(SCI급)	SCIE			44	43		000489994400003	2-s2.0-85070090794	13.14			https://doi.org/10.1002/asl.933	2021-07-13	2021-07-14	"Wang, SSY"	"Wang, SSY[Wang, Simon S. -Y.]; Kim, H[Kim, Hyungjun]; Coumou, D[Coumou, Dim]; Yoon, JH[Yoon, Jin-Ho]; Zhao, L[Zhao, Lin]; Gillies, RR[Gillies, Robert R.]"	6	타기관	1.879	1.142	2.00	Y	Editorial Material
120801	2362	김형준	제1저자	전임		문술미래전략대학원	BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY	State of the Climate in 2018	미국	0003-0007	2019	09	100	9	검증완료	국제전문학술지(SCI급)	SCI	S1	U24	39			000489716700003						2021-07-13	2023-01-06	"Arndt, DS"	"Arndt, DS[Arndt, D. S.]; Kim, H[Kim, Hyungjun]"	2	타기관	9.384	3.654	5.00	N	Article
120831	2362	김형준	공동저자	전임		문술미래전략대학원	NATURE	Observed controls on resilience of groundwater to climate variability in sub-Saharan Africa	영국	0028-0836	2019	08	572	7768	검증완료	국제전문학술지(SCI급)	SCI	230	+	143	161		000479172800044	2-s2.0-85070382340	6.00		"Groundwater in sub-Saharan Africa supports livelihoods and poverty alleviation(1,2), maintains vital ecosystems, and strongly influences terrestrial water and energy budgets(3). Yet the hydrological processes that govern groundwater recharge and sustainability-and their sensitivity to climatic variability-are poorly constrained(4,5). Given the absence of firm observational constraints, it remains to be seen whether model-based projections of decreased water resources in dry parts of the region(4) are justified. Here we show, through analysis of multidecadal groundwater hydrographs across sub-Saharan Africa, that levels of aridity dictate the predominant recharge processes, whereas local hydrogeology influences the type and sensitivity of precipitation-recharge relationships. Recharge in some humid locations varies by as little as five per cent (by coefficient of variation) across a wide range of annual precipitation values. Other regions, by contrast, show roughly linear precipitation-recharge relationships, with precipitation thresholds (of roughly ten millimetres or less per day) governing the initiation of recharge. These thresholds tend to rise as aridity increases, and recharge in drylands is more episodic and increasingly dominated by focused recharge through losses from ephemeral overland flows. Extreme annual recharge is commonly associated with intense rainfall and flooding events, themselves often driven by large-scale climate controls. Intense precipitation, even during years of lower overall precipitation, produces some of the largest years of recharge in some dry subtropical locations. Our results therefore challenge the 'high certainty' consensus regarding decreasing water resources(4) in such regions of sub-Saharan Africa. The potential resilience of groundwater to climate variability in many areas that is revealed by these precipitation-recharge relationships is essential for informing reliable predictions of climate-change impacts and adaptation strategies."	https://doi.org/10.1038/s41586-019-1441-7	2021-07-13	2021-07-14	"Cuthbert, MO"	"Cuthbert, MO[Cuthbert, Mark O.]; Taylor, RG[Taylor, Richard G.]; Favreau, G[Favreau, Guillaume]; Todd, MC[Todd, Martin C.]; Shamsudduha, M[Shamsudduha, Mohammad]; Villholth, KG[Villholth, Karen G.]; MacDonald, AM[MacDonald, Alan M.]; Scanlon, BR[Scanlon, Bridget R.]; Kotchoni, DOV[Kotchoni, D. O. Valerie]; Vouillamoz, JM[Vouillamoz, Jean-Michel]; Lawson, FMA[Lawson, Fabrice M. A.]; Adjomayi, PA[Adjomayi, Philippe Armand]; Kashaigili, J[Kashaigili, Japhet]; Seddon, D[Seddon, David]; Sorensen, JPR[Sorensen, James P. R.]; Ebrahim, GY[Ebrahim, Girma Yimer]; Owor, M[Owor, Michael]; Nyenje, PM[Nyenje, Philip M.]; Nazoumou, Y[Nazoumou, Yahaya]; Goni, I[Goni, Ibrahim]; Ousmane, BI[Ousmane, Boukari Issoufou]; Sibanda, T[Sibanda, Tenant]; Ascott, MJ[Ascott, Matthew J.]; Macdonald, DMJ[Macdonald, David M. J.]; Agyekum, W[Agyekum, William]; Koussoube, Y[Koussoube, Youssouf]; Wanke, H[Wanke, Heike]; Kim, H[Kim, Hyungjun]; Wada, Y[Wada, Yoshihide]; Lo, MH[Lo, Min-Hui]; Oki, T[Oki, Taikan]; Kukuric, N[Kukuric, Neno]"	32	타기관	42.779	14.047	5.00	Y	Article
